"name","url","form_number","api_number","well_name","location","county","effective_date","scan_date","doc_ID","relevance"
"35051251130000_STRAUSS 1-21-28XHW_14427322","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14427322&dbid=0&repo=OCC&searchid=462d7ebd-8ae9-4d8f-b9af-2779f83baba5","1000","35051251130000","STRAUSS 1-21-28XHW","2108N08W SW NE NE NE","Grady","2/8/2024 12:00:00 AM","2/8/2024 12:00:00 AM","14427322",
"35051251110000_CKSMOU 16-14-5_14421197","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14421197&dbid=0&repo=OCC&searchid=462d7ebd-8ae9-4d8f-b9af-2779f83baba5","1000","35051251110000","CKSMOU 16-14-5","2103N05W SE NW NE NE","Grady","2/7/2024 12:00:00 AM","2/7/2024 12:00:00 AM","14421197",
"35051251140000_NICHOLAS 1H-24-13_14437407","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14437407&dbid=0&repo=OCC&searchid=462d7ebd-8ae9-4d8f-b9af-2779f83baba5","1000","35051251140000","NICHOLAS 1H-24-13","2608N08W NE NE NE NE","Grady","2/12/2024 12:00:00 AM","2/12/2024 12:00:00 AM","14437407",
"35073270740000_KOKOJAN TRUST 2-18-6 3HO_14435220","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14435220&dbid=0&repo=OCC&searchid=462d7ebd-8ae9-4d8f-b9af-2779f83baba5","1000","35073270740000","KOKOJAN TRUST 2-18-6 3HO","0218N06W NW NW NE NW","Kingfisher","2/12/2024 12:00:00 AM","2/12/2024 12:00:00 AM","14435220",
"35051251100000_CKSMOU 16-13-4_14421198","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14421198&dbid=0&repo=OCC&searchid=462d7ebd-8ae9-4d8f-b9af-2779f83baba5","1000","35051251100000","CKSMOU 16-13-4","2103N05W SE NW NE NE","Grady","2/7/2024 12:00:00 AM","2/7/2024 12:00:00 AM","14421198",
"35087224530000_MILLAN MU11-15 17-20-29 3HEX_14431300","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14431300&dbid=0&repo=OCC&searchid=462d7ebd-8ae9-4d8f-b9af-2779f83baba5","1000","35087224530000","MILLAN MU11-15 17-20-29 3HEX","1707N02W NE NE NW NE","McClain","2/9/2024 12:00:00 AM","2/9/2024 12:00:00 AM","14431300",
"35103247900000_GRACE 56_14439517","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14439517&dbid=0&repo=OCC&searchid=462d7ebd-8ae9-4d8f-b9af-2779f83baba5","1000","35103247900000","GRACE 56","1724N01WIM C W2 SW NE","Noble","2/8/2024 12:00:00 AM","2/13/2024 12:00:00 AM","14439517",
"35063249510001_KOALA 11/2/35 2H_14423227","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14423227&dbid=0&repo=OCC&searchid=462d7ebd-8ae9-4d8f-b9af-2779f83baba5","1000","35063249510001","KOALA 11/2/35 2H","1105N09E SW NW NE NW","Hughes","2/7/2024 12:00:00 AM","2/7/2024 12:00:00 AM","14423227",
"35087224540000_MILLAN MU11-15 17-20-29 4HEX_14431298","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14431298&dbid=0&repo=OCC&searchid=462d7ebd-8ae9-4d8f-b9af-2779f83baba5","1000","35087224540000","MILLAN MU11-15 17-20-29 4HEX","1707N02W NW NW NE NE","McClain","2/9/2024 12:00:00 AM","2/9/2024 12:00:00 AM","14431298",
"35103247920002_GRACE 58_14427651","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14427651&dbid=0&repo=OCC&searchid=462d7ebd-8ae9-4d8f-b9af-2779f83baba5","1000","35103247920002","GRACE 58","1724N01W C SE NW NE","Noble","2/8/2024 12:00:00 AM","2/8/2024 12:00:00 AM","14427651",
"35103247900003_GRACE 56_14427439","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14427439&dbid=0&repo=OCC&searchid=462d7ebd-8ae9-4d8f-b9af-2779f83baba5","1000","35103247900003","GRACE 56","1724N01W C W2 SW NE","Noble","2/8/2024 12:00:00 AM","2/8/2024 12:00:00 AM","14427439",
"35103247920000_GRACE 58_14439518","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14439518&dbid=0&repo=OCC&searchid=462d7ebd-8ae9-4d8f-b9af-2779f83baba5","1000","35103247920000","GRACE 58","1724N01WIM C SE NW NE","Noble","2/8/2024 12:00:00 AM","2/13/2024 12:00:00 AM","14439518",
"35103248050000_MALZAHN 2_14430185","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14430185&dbid=0&repo=OCC&searchid=462d7ebd-8ae9-4d8f-b9af-2779f83baba5","1000","35103248050000","MALZAHN 2","0920N01W C SW SW NW","Noble","2/9/2024 12:00:00 AM","2/9/2024 12:00:00 AM","14430185",
"35103247930002_GRACE 59_14427642","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14427642&dbid=0&repo=OCC&searchid=462d7ebd-8ae9-4d8f-b9af-2779f83baba5","1000","35103247930002","GRACE 59","1724N01W C NE NE NE","Noble","2/8/2024 12:00:00 AM","2/8/2024 12:00:00 AM","14427642",
"35103247930000_GRACE 59_14439516","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14439516&dbid=0&repo=OCC&searchid=462d7ebd-8ae9-4d8f-b9af-2779f83baba5","1000","35103247930000","GRACE 59","1724N01WIM C NE NE NE","Noble","2/8/2024 12:00:00 AM","2/13/2024 12:00:00 AM","14439516",
"35103248050000_MALZAHN 2_14439515","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14439515&dbid=0&repo=OCC&searchid=462d7ebd-8ae9-4d8f-b9af-2779f83baba5","1000","35103248050000","MALZAHN 2","0920N01WIM C SW SW NW","Noble","2/9/2024 12:00:00 AM","2/13/2024 12:00:00 AM","14439515",
"35119244760000_CHEROKEE 5-9_14438982","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14438982&dbid=0&repo=OCC&searchid=462d7ebd-8ae9-4d8f-b9af-2779f83baba5","1000","35119244760000","CHEROKEE 5-9","0919N06E C SE SW NE","Payne","2/13/2024 12:00:00 AM","2/13/2024 12:00:00 AM","14438982",
"35121249160001_NICKLAUS 1-8-5WH_14421201","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14421201&dbid=0&repo=OCC&searchid=462d7ebd-8ae9-4d8f-b9af-2779f83baba5","1000","35121249160001","NICKLAUS 1-8-5WH","0707N13E SE SE SE SE","Pittsburg","2/7/2024 12:00:00 AM","2/7/2024 12:00:00 AM","14421201",
"35121249220001_NICKLAUS 2-7-6WH_14423501","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14423501&dbid=0&repo=OCC&searchid=462d7ebd-8ae9-4d8f-b9af-2779f83baba5","1000","35121249220001","NICKLAUS 2-7-6WH","0707N13E SE SE SE SE","Pittsburg","2/7/2024 12:00:00 AM","2/7/2024 12:00:00 AM","14423501",
"35133254070000_ANDREWS 1-17_14431202","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14431202&dbid=0&repo=OCC&searchid=462d7ebd-8ae9-4d8f-b9af-2779f83baba5","1000","35133254070000","ANDREWS 1-17","1708N06E NW NW NE NW","Seminole","2/9/2024 12:00:00 AM","2/9/2024 12:00:00 AM","14431202",
"35119244770000_CHEROKEE 6-9_14438978","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14438978&dbid=0&repo=OCC&searchid=462d7ebd-8ae9-4d8f-b9af-2779f83baba5","1000","35119244770000","CHEROKEE 6-9","0919N06E C SW SE NE","Payne","2/13/2024 12:00:00 AM","2/13/2024 12:00:00 AM","14438978",
"35121249170001_NICKLAUS 2-8-5WH_14423498","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14423498&dbid=0&repo=OCC&searchid=462d7ebd-8ae9-4d8f-b9af-2779f83baba5","1000","35121249170001","NICKLAUS 2-8-5WH","0707N13E SE SE SE SE","Pittsburg","2/7/2024 12:00:00 AM","2/7/2024 12:00:00 AM","14423498",
"35011243700000_BIRCH 36_25_24-15N-12W 2HXX_14437320","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14437320&dbid=0&repo=OCC&searchid=462d7ebd-8ae9-4d8f-b9af-2779f83baba5","1000","35011243700000","BIRCH 36_25_24-15N-12W 2HXX","3615N12W SE NE SE SW","Blaine","2/12/2024 12:00:00 AM","2/12/2024 12:00:00 AM","14437320",
