"name","url","form_number","api_number","well_name","location","county","effective_date","scan_date","doc_ID","relevance"
"35049252160000_NANCY 1-4_14439519","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14439519&dbid=0&repo=OCC&searchid=462d7ebd-8ae9-4d8f-b9af-2779f83baba5","1000","35049252160000","NANCY 1-4","0401N02WIM C N2 SW NW","Garvin","2/8/2024 12:00:00 AM","2/13/2024 12:00:00 AM","14439519",
"35049252160001_NANCY 1-4_14427320","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14427320&dbid=0&repo=OCC&searchid=462d7ebd-8ae9-4d8f-b9af-2779f83baba5","1000","35049252160001","NANCY 1-4","0401N02W C N2 SW NW","Garvin","2/8/2024 12:00:00 AM","2/8/2024 12:00:00 AM","14427320",
"35049254390001_WILEY 3-26-27-28XHW_14435207","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14435207&dbid=0&repo=OCC&searchid=462d7ebd-8ae9-4d8f-b9af-2779f83baba5","1000","35049254390001","WILEY 3-26-27-28XHW","3601N01W SE NW NW NW","Garvin","2/12/2024 12:00:00 AM","2/12/2024 12:00:00 AM","14435207",
"35049254450000_AD ROCK EAST 0203-24-13 1WHX_14421203","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14421203&dbid=0&repo=OCC&searchid=462d7ebd-8ae9-4d8f-b9af-2779f83baba5","1000","35049254450000","AD ROCK EAST 0203-24-13 1WHX","2502N03W SE NE NE NE","Garvin","2/7/2024 12:00:00 AM","2/7/2024 12:00:00 AM","14421203",
"35049254470000_MIKE D 0203-12-1 2WHX_14431308","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14431308&dbid=0&repo=OCC&searchid=462d7ebd-8ae9-4d8f-b9af-2779f83baba5","1000","35049254470000","MIKE D 0203-12-1 2WHX","1802N02W NE NW NW NW","Garvin","2/9/2024 12:00:00 AM","2/9/2024 12:00:00 AM","14431308",
"35049254440000_AD ROCK WEST 0203-13-24 1WHX_14421205","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14421205&dbid=0&repo=OCC&searchid=462d7ebd-8ae9-4d8f-b9af-2779f83baba5","1000","35049254440000","AD ROCK WEST 0203-13-24 1WHX","1202N03W SW SW SE SW","Garvin","2/7/2024 12:00:00 AM","2/7/2024 12:00:00 AM","14421205",
"35049254480000_MIKE D 0203-12-1 3WHX_14431302","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14431302&dbid=0&repo=OCC&searchid=462d7ebd-8ae9-4d8f-b9af-2779f83baba5","1000","35049254480000","MIKE D 0203-12-1 3WHX","1802N02W NE NW NW NW","Garvin","2/9/2024 12:00:00 AM","2/9/2024 12:00:00 AM","14431302",
"35049254470000_MIKE D 0203-12-1 2WHX_14439514","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14439514&dbid=0&repo=OCC&searchid=462d7ebd-8ae9-4d8f-b9af-2779f83baba5","1000","35049254470000","MIKE D 0203-12-1 2WHX","1802N02WIM NE NW NW NW","Garvin","2/9/2024 12:00:00 AM","2/13/2024 12:00:00 AM","14439514",
"35049254480000_MIKE D 0203-12-1 3WHX_14439513","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14439513&dbid=0&repo=OCC&searchid=462d7ebd-8ae9-4d8f-b9af-2779f83baba5","1000","35049254480000","MIKE D 0203-12-1 3WHX","1802N02WIM NE NW NW NW","Garvin","2/9/2024 12:00:00 AM","2/13/2024 12:00:00 AM","14439513",
"35049254490000_MIKE D 0203-12-1 1WHX_14439520","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14439520&dbid=0&repo=OCC&searchid=462d7ebd-8ae9-4d8f-b9af-2779f83baba5","1000","35049254490000","MIKE D 0203-12-1 1WHX","1202N03WIM SW SW SE SW","Garvin","2/12/2024 12:00:00 AM","2/13/2024 12:00:00 AM","14439520",
"35049254460000_WILEY 4-28-27-26XHM_14423500","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14423500&dbid=0&repo=OCC&searchid=462d7ebd-8ae9-4d8f-b9af-2779f83baba5","1000","35049254460000","WILEY 4-28-27-26XHM","2801N01W SW NW NE SE","Garvin","2/7/2024 12:00:00 AM","2/7/2024 12:00:00 AM","14423500",
"35049254490000_MIKE D 0203-12-1 1WHX_14437325","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14437325&dbid=0&repo=OCC&searchid=462d7ebd-8ae9-4d8f-b9af-2779f83baba5","1000","35049254490000","MIKE D 0203-12-1 1WHX","1202N03W SW SW SE SW","Garvin","2/12/2024 12:00:00 AM","2/12/2024 12:00:00 AM","14437325",
"35051251120000_CKSMOU 21-16-1_14421195","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14421195&dbid=0&repo=OCC&searchid=462d7ebd-8ae9-4d8f-b9af-2779f83baba5","1000","35051251120000","CKSMOU 21-16-1","2103N05W SE NW NE NE","Grady","2/7/2024 12:00:00 AM","2/7/2024 12:00:00 AM","14421195",
